Map,Date,Duration,Friends,Score,Result,Player,Ping,Kills,Assists,Deaths,MVP,HSP,Player score
Inferno,2020-07-09 03:15:58 GMT,30:20,2,16 : 6,won,31,14,3,19,2,20%,33
Mirage,2020-07-09 02:34:14 GMT,36:20,2,16 : 6,won,46,22,7,14,3,27%,56
Inferno,2020-07-05 04:33:01 GMT,28:54,2,16 : 3,won,31,23,2,9,3,0%,48
Cache,2020-07-04 04:39:41 GMT,30:44,2,5 : 16,lost,44,15,1,16,1,26%,34
Inferno,2020-07-04 03:41:17 GMT,52:18,2,14 : 16,lost,38,21,10,25,5,28%,58
Inferno,2020-07-04 03:07:33 GMT,25:43,1,2 : 16,lost,26,11,2,17,0,27%,28
Inferno,2020-06-28 05:04:25 GMT,45:44,3,16 : 10,won,43,20,8,17,2,10%,49
Mirage,2020-06-28 04:29:13 GMT,31:46,3,13 : 6,won,31,27,3,11,5,14%,63
Cache,2020-06-27 03:59:29 GMT,30:26,3,16 : 4,won,40,13,5,11,1,30%,33
Inferno,2020-06-27 03:01:29 GMT,45:42,3,11 : 16,lost,29,22,3,21,4,40%,56
Cache,2020-06-27 02:00:01 GMT,54:11,3,16 : 13,won,33,20,3,19,4,20%,48
Inferno,2020-06-20 04:00:15 GMT,44:03,4,13 : 16,lost,40,23,2,19,4,26%,50
Inferno,2020-06-20 03:21:03 GMT,33:01,4,16 : 5,won,44,24,2,12,2,20%,55
Cache,2020-06-20 02:30:15 GMT,46:07,4,11 : 16,lost,38,15,6,25,1,46%,38
Cache,2020-06-18 02:16:31 GMT,30:41,4,16 : 4,won,45,15,5,12,3,40%,40
Inferno,2020-06-18 01:43:35 GMT,26:04,4,16 : 0,won,42,14,2,4,4,14%,33
Cache,2020-06-17 03:09:27 GMT,33:39,3,4 : 16,lost,43,11,2,18,2,45%,26
Cache,2020-06-17 02:10:23 GMT,26:13,4,16 : 3,won,41,21,4,9,3,23%,52
Inferno,2020-06-17 01:24:07 GMT,30:58,4,16 : 8,won,31,16,2,14,4,25%,39
Inferno,2020-06-16 22:12:10 GMT,45:12,2,10 : 16,lost,31,7,5,23,1,42%,19
Inferno,2020-06-15 05:12:41 GMT,33:52,2,16 : 6,won,39,15,1,18,2,46%,31
Inferno,2020-06-15 04:35:05 GMT,29:40,2,16 : 6,won,36,15,3,16,1,46%,33
Inferno,2020-06-15 03:56:09 GMT,34:08,1,6 : 16,lost,0,0,0,0,0,0%,0
Inferno,2020-06-13 04:52:33 GMT,42:23,1,11 : 16,lost,31,39,5,19,9,17%,86
Inferno,2020-06-13 03:40:25 GMT,34:12,1,16 : 6,won,40,17,5,20,1,16%,39
Inferno,2020-06-09 03:19:47 GMT,33:26,2,16 : 7,won,30,23,6,14,3,21%,54
Inferno,2020-06-07 04:07:55 GMT,38:24,3,10 : 16,lost,36,17,6,22,3,23%,46
Mirage,2020-06-07 03:25:47 GMT,36:15,2,8 : 16,lost,31,12,7,17,3,23%,42
Mirage,2020-06-07 02:28:11 GMT,41:02,1,9 : 16,lost,34,13,5,17,1,38%,36
Mirage,2020-06-06 03:12:59 GMT,39:01,2,9 : 16,lost,34,15,3,23,1,31%,39
Inferno,2020-06-06 02:26:51 GMT,39:41,3,7 : 16,lost,33,18,6,17,1,27%,46
Mirage,2020-06-02 03:53:53 GMT,39:24,2,16 : 10,won,31,22,2,21,2,18%,54
Inferno,2020-06-02 03:05:21 GMT,38:09,2,6 : 16,lost,23,13,6,18,1,30%,41
Mirage,2020-05-29 23:33:38 GMT,46:49,0,13 : 16,lost,34,18,10,25,2,27%,50
Inferno,2020-05-29 03:49:46 GMT,41:37,3,9 : 16,lost,36,17,2,21,4,35%,50
Inferno,2020-05-27 03:22:03 GMT,50:52,2,16 : 14,won,31,26,2,24,4,19%,62
